Time [s],Ch1 Current [A]
7.040000E-8,1.282291E+1
7.050000E-8,1.283067E+1
7.060000E-8,1.283816E+1
7.070000E-8,1.284537E+1
7.080000E-8,1.285229E+1
7.090000E-8,1.285891E+1
7.100000E-8,1.286522E+1
7.110000E-8,1.287122E+1
7.120000E-8,1.287689E+1
7.130000E-8,1.288223E+1
7.140000E-8,1.288724E+1
7.150000E-8,1.289190E+1
7.160000E-8,1.289621E+1
7.170000E-8,1.290016E+1
7.180000E-8,1.290376E+1
7.190000E-8,1.290699E+1
7.200000E-8,1.290984E+1
7.210000E-8,1.291233E+1
7.220000E-8,1.291443E+1
7.230000E-8,1.291615E+1
7.240000E-8,1.291749E+1
7.250000E-8,1.291844E+1
7.260000E-8,1.291900E+1
7.270000E-8,1.291916E+1
7.280000E-8,1.291894E+1
7.290000E-8,1.291832E+1
7.300000E-8,1.291730E+1
7.310000E-8,1.291589E+1
7.320000E-8,1.291408E+1
7.330000E-8,1.291187E+1
7.340000E-8,1.290927E+1
7.350000E-8,1.290628E+1
7.360000E-8,1.290289E+1
7.370000E-8,1.289910E+1
7.380000E-8,1.289493E+1
7.390000E-8,1.289036E+1
7.400000E-8,1.288541E+1
7.410000E-8,1.288007E+1
7.420000E-8,1.287434E+1
7.430000E-8,1.286823E+1
7.440000E-8,1.286174E+1
7.450000E-8,1.285487E+1
7.460000E-8,1.284763E+1
7.470000E-8,1.284002E+1
7.480000E-8,1.283203E+1
7.490000E-8,1.282368E+1
7.500000E-8,1.281497E+1
7.510000E-8,1.280589E+1
7.520000E-8,1.279646E+1
7.530000E-8,1.278668E+1
7.540000E-8,1.277655E+1
7.550000E-8,1.276608E+1
7.560000E-8,1.275526E+1
7.570000E-8,1.274411E+1
7.580000E-8,1.273263E+1
7.590000E-8,1.272083E+1
7.600000E-8,1.270870E+1
7.610000E-8,1.269625E+1
7.620000E-8,1.268350E+1
7.630000E-8,1.267044E+1
7.640000E-8,1.265708E+1
7.650000E-8,1.264343E+1
7.660000E-8,1.262949E+1
7.670000E-8,1.261527E+1
7.680000E-8,1.260078E+1
7.690000E-8,1.258602E+1
7.700000E-8,1.257100E+1
7.710000E-8,1.255573E+1
7.720000E-8,1.254021E+1
7.730000E-8,1.252445E+1
7.740000E-8,1.250847E+1
7.750000E-8,1.249226E+1
7.760000E-8,1.247583E+1
7.770000E-8,1.245920E+1
7.780000E-8,1.244237E+1
7.790000E-8,1.242535E+1
7.800000E-8,1.240815E+1
7.810000E-8,1.239077E+1
7.820000E-8,1.237323E+1
7.830000E-8,1.235554E+1
7.840000E-8,1.233770E+1
7.850000E-8,1.231973E+1
7.860000E-8,1.230162E+1
7.870000E-8,1.228340E+1
7.880000E-8,1.226507E+1
7.890000E-8,1.224664E+1
7.900000E-8,1.222812E+1
7.910000E-8,1.220953E+1
7.920000E-8,1.219086E+1
7.930000E-8,1.217214E+1
7.940000E-8,1.215337E+1
7.950000E-8,1.213456E+1
7.960000E-8,1.211572E+1
7.970000E-8,1.209688E+1
7.980000E-8,1.207802E+1
7.990000E-8,1.205918E+1
8.000000E-8,1.204036E+1
8.010000E-8,1.202156E+1
8.020000E-8,1.200282E+1
8.030000E-8,1.198412E+1
8.040000E-8,1.196550E+1
8.050000E-8,1.194695E+1
8.060000E-8,1.192851E+1
8.070000E-8,1.191016E+1
8.080000E-8,1.189194E+1
8.090000E-8,1.187386E+1
8.100000E-8,1.185592E+1
8.110000E-8,1.183815E+1
8.120000E-8,1.182055E+1
8.130000E-8,1.180315E+1
8.140000E-8,1.178595E+1
8.150000E-8,1.176897E+1
8.160000E-8,1.175224E+1
8.170000E-8,1.173575E+1
8.180000E-8,1.171954E+1
8.190000E-8,1.170361E+1
8.200000E-8,1.168798E+1
8.210000E-8,1.167267E+1
8.220000E-8,1.165768E+1
8.230000E-8,1.164305E+1
8.240000E-8,1.162878E+1
8.250000E-8,1.161489E+1
8.260000E-8,1.160139E+1
8.270000E-8,1.158831E+1
8.280000E-8,1.157565E+1
8.290000E-8,1.156343E+1
8.300000E-8,1.155167E+1
8.310000E-8,1.154038E+1
8.320000E-8,1.152958E+1
8.330000E-8,1.151928E+1
8.340000E-8,1.150950E+1
8.350000E-8,1.150025E+1
8.360000E-8,1.149154E+1
8.370000E-8,1.148339E+1
8.380000E-8,1.147581E+1
8.390000E-8,1.146882E+1
8.400000E-8,1.146242E+1
8.410000E-8,1.145664E+1
8.420000E-8,1.145147E+1
8.430000E-8,1.144695E+1
8.440000E-8,1.144306E+1
8.450000E-8,1.143984E+1
8.460000E-8,1.143728E+1
8.470000E-8,1.143540E+1
8.480000E-8,1.143420E+1
8.490000E-8,1.143370E+1
8.500000E-8,1.143390E+1
8.510000E-8,1.143482E+1
8.520000E-8,1.143645E+1
8.530000E-8,1.143881E+1
8.540000E-8,1.144190E+1
8.550000E-8,1.144573E+1
8.560000E-8,1.145031E+1
8.570000E-8,1.145563E+1
8.580000E-8,1.146170E+1
8.590000E-8,1.146852E+1
8.600000E-8,1.147611E+1
8.610000E-8,1.148445E+1
8.620000E-8,1.149356E+1
8.630000E-8,1.150343E+1
8.640000E-8,1.151406E+1
8.650000E-8,1.152545E+1
8.660000E-8,1.153760E+1
